coordinates;color;speed_limit;current_speed
[(8.7554101, 45.9947558), (8.75539, 45.9947765), (8.7553604, 45.9947898), (8.755315, 45.9947934), (8.7552852, 45.9947864), (8.7552609, 45.9947728), (8.7552449, 45.9947542), (8.7552392, 45.9947325)];green;50;32.0
[(8.7494738, 45.9827933), (8.7494924, 45.9827952), (8.7495076, 45.9827988), (8.7495349, 45.9828118), (8.7495585, 45.9828396), (8.7495616, 45.9828634), (8.7495498, 45.982889), (8.7495226, 45.9829096), (8.7495013, 45.9829172), (8.749485, 45.9829202), (8.7494591, 45.9829206)];green;50;59.0
[(8.7494591, 45.9829206), (8.7494589, 45.9829404), (8.7494555, 45.9833699), (8.7494517, 45.9836888), (8.7494534, 45.9837921), (8.7494555, 45.9839187)];green;50;59.0
[(8.7552867, 45.9938426), (8.7552532, 45.9938286), (8.755227, 45.9938086), (8.7552102, 45.993784), (8.7552044, 45.9937572), (8.75521, 45.9937304), (8.7552267, 45.9937058), (8.7552547, 45.9936846), (8.7552908, 45.9936704), (8.7553315, 45.9936646), (8.7553728, 45.9936678), (8.7554106, 45.9936796), (8.7554413, 45.993699), (8.755462, 45.993724), (8.7554706, 45.9937522)];green;50;32.0
[(8.7554706, 45.9937522), (8.7555319, 45.9937312), (8.7556849, 45.9936794), (8.7566224, 45.9931018), (8.7570576, 45.9928245), (8.7571814, 45.99274), (8.7584726, 45.9919471), (8.7590025, 45.991627)];green;50;52.0
[(8.7416917, 45.9951622), (8.7417438, 45.9953014), (8.7417973, 45.9953821), (8.7418125, 45.995405), (8.741896, 45.9954924), (8.7419121, 45.9955092), (8.7420091, 45.9955668), (8.7420801, 45.9955871), (8.7421789, 45.9956021), (8.7422915, 45.9955964), (8.7423988, 45.9955808), (8.7425212, 45.9955745), (8.7426301, 45.9955897), (8.7427412, 45.995625), (8.7428703, 45.9956788), (8.7429825, 45.9957448), (8.7430946, 45.9958107), (8.743526, 45.9960719), (8.743808, 45.9962375), (8.7438387, 45.996255), (8.7438832, 45.9962831), (8.7439383, 45.9963178)];green;50;50.0
[(8.737414, 45.9974233), (8.737323, 45.99744), (8.7372245, 45.9974549), (8.7371461, 45.9974797), (8.7370742, 45.9975113), (8.7369508, 45.9976174)];green;50;32.0
[(8.7497623, 45.9863006), (8.7497875, 45.9862523), (8.749796, 45.9862361), (8.7498156, 45.9861903), (8.7501382, 45.9854399), (8.7502271, 45.9852868), (8.7502457, 45.9852547)];green;50;52.0
[(8.7494933, 45.9841856), (8.7496112, 45.9843674), (8.7500087, 45.9848701), (8.7500544, 45.9849279)];green;50;59.0
[(8.744781, 45.9999393), (8.7448085, 45.9996171), (8.744816, 45.9993587), (8.7448205, 45.9992843), (8.7448225, 45.9992346), (8.7448128, 45.9991776), (8.7448318, 45.9991608), (8.7448623, 45.9991241)];green;50;27.0
[(8.7417082, 45.9949762), (8.7416663, 45.9949839), (8.7416231, 45.9949828), (8.7415821, 45.9949731), (8.7415479, 45.9949563), (8.7415218, 45.9949335), (8.7415059, 45.9949066), (8.7415015, 45.9948777), (8.7415111, 45.9948446), (8.7415356, 45.9948154), (8.7415723, 45.9947932), (8.7416141, 45.9947811), (8.7416591, 45.9947782), (8.7417034, 45.9947849), (8.7417436, 45.994801), (8.7417746, 45.994825), (8.7417935, 45.9948545), (8.7417986, 45.9948836), (8.7417917, 45.9949124), (8.7417734, 45.9949388), (8.7417451, 45.9949606), (8.7417082, 45.9949762)];green;50;34.0
[(8.7330327, 45.9938899), (8.7330573, 45.9938918), (8.7331639, 45.9938998), (8.7334154, 45.993906), (8.7335724, 45.9939063), (8.7340877, 45.9939072), (8.7344663, 45.9939078), (8.73457, 45.9939206), (8.7348053, 45.9939497), (8.7349449, 45.993967), (8.735407, 45.9941092), (8.7359319, 45.9943005), (8.7360861, 45.9943567), (8.7364431, 45.994492), (8.7365095, 45.9945171), (8.7367704, 45.9945999), (8.7371687, 45.994693), (8.7378798, 45.9947796), (8.7384601, 45.9948224), (8.7389166, 45.9948538), (8.7390961, 45.9948661), (8.7396951, 45.9948643), (8.7403386, 45.9948275), (8.7408724, 45.9947929), (8.7409991, 45.9947898), (8.7411541, 45.994796), (8.7412951, 45.9947979)];green;50;34.0
[(8.7475893, 45.9980558), (8.7476326, 45.9980617), (8.7476709, 45.9980769), (8.7477001, 45.9981), (8.747717, 45.9981283), (8.7477198, 45.998159), (8.7477079, 45.9981892), (8.7476824, 45.998215), (8.747646, 45.9982335), (8.7476029, 45.9982427), (8.7475582, 45.9982415), (8.7475165, 45.9982303), (8.7474823, 45.9982102), (8.7474594, 45.9981834), (8.7474505, 45.9981534), (8.7474559, 45.998123), (8.7474752, 45.9980954), (8.7475062, 45.9980736), (8.7475456, 45.9980599), (8.7475893, 45.9980558)];green;50;26.0
[(8.7400898, 45.998938), (8.7401091, 45.9989113), (8.7401419, 45.9988882), (8.7401781, 45.9988763), (8.740231, 45.9988719), (8.7402876, 45.998872), (8.7403785, 45.9988757), (8.7404649, 45.9988846), (8.7405305, 45.9988816)];green;50;28.0
