coordinates;speed_limit;00_30;01_00;02_30;03_00
[(8.7941956, 46.1668425), (8.7941814, 46.1669201), (8.7941624, 46.1669769), (8.7941362, 46.1670303), (8.7940955, 46.1670921)];50;33;33;33;33
[(8.7940955, 46.1670921), (8.7940478, 46.1671449), (8.7939757, 46.167201), (8.7938969, 46.1672552)];50;33;33;33;33
[(8.7938969, 46.1672552), (8.7938104, 46.1672973), (8.7937248, 46.1673297), (8.7936323, 46.1673558), (8.7935397, 46.1673724), (8.7934429, 46.1673812), (8.7933508, 46.167383)];50;33;33;33;33
[(8.7933508, 46.167383), (8.7932574, 46.1673767), (8.7931712, 46.1673644), (8.7930823, 46.1673442), (8.7929988, 46.1673172), (8.7929224, 46.1672843)];50;33;33;33;33
[(8.7929224, 46.1672843), (8.7927796, 46.1672016), (8.7927245, 46.1671563), (8.7926687, 46.167095), (8.7926328, 46.167042)];50;33;33;33;33
[(8.7931911, 46.1662646), (8.7933235, 46.1662505), (8.7934446, 46.1662512), (8.7935829, 46.1662652), (8.7936906, 46.166291), (8.793783, 46.1663221), (8.7938726, 46.1663653), (8.7939683, 46.1664225), (8.7940003, 46.1664484)];50;33;33;33;33
[(8.7925674, 46.166756), (8.7925896, 46.1666745), (8.7926222, 46.1666047), (8.7926667, 46.1665426), (8.7927143, 46.1664893), (8.7927566, 46.1664498)];50;33;33;33;33
[(8.7927566, 46.1664498), (8.7928054, 46.1664108), (8.7928657, 46.1663754)];50;33;33;33;33
[(8.7928657, 46.1663754), (8.792958, 46.1663312), (8.793065, 46.1662936), (8.7931911, 46.1662646)];50;33;33;33;33
[(8.8785437, 46.1769586), (8.8779246, 46.1770387), (8.8773828, 46.1771076)];60;49;49;49;49
[(8.8773828, 46.1771076), (8.8770644, 46.1771528), (8.8760767, 46.177283)];60;49;49;49;49
[(8.8760767, 46.177283), (8.8752694, 46.17742)];60;49;49;49;49
[(8.8752694, 46.17742), (8.8749886, 46.1774707)];60;49;49;49;49
[(8.87413, 46.177642), (8.8737585, 46.177727)];60;49;49;49;49
[(8.8737585, 46.177727), (8.8736305, 46.1777564)];60;49;49;49;49
[(8.8736305, 46.1777564), (8.873475, 46.1777904), (8.8730979, 46.177888), (8.8727382, 46.177988), (8.8722804, 46.1781295), (8.8720451, 46.1782117)];60;49;49;49;49
[(8.8720451, 46.1782117), (8.8712424, 46.1784865), (8.8710371, 46.1785626), (8.8708261, 46.1786473), (8.8702265, 46.1789025), (8.870152, 46.1789332)];60;49;49;49;49
[(8.870152, 46.1789332), (8.8701265, 46.1789444)];60;49;49;49;49
[(8.8749886, 46.1774707), (8.8745154, 46.1775579), (8.87413, 46.177642)];60;49;49;49;49
[(8.866912, 46.1492521), (8.8671592, 46.1492466)];50;45;45;45;45
[(8.8668518, 46.1492535), (8.866912, 46.1492521)];50;45;45;45;45
[(8.9861671, 46.3103379), (8.9859655, 46.3105998)];80;57;57;57;57
[(8.9891324, 46.3071817), (8.9888944, 46.3074177)];80;119;119;119;119
[(8.9560965, 46.3602916), (8.9560935, 46.3603237), (8.9560777, 46.360354), (8.9560503, 46.3603802), (8.9560136, 46.3604), (8.9559703, 46.3604121)];80;48;48;48;48
[(8.9557651, 46.3603201), (8.9557639, 46.3602858), (8.9557774, 46.3602528), (8.9558043, 46.360224), (8.9558422, 46.3602019), (8.9558811, 46.3601894)];80;48;48;48;48
[(8.9558811, 46.3601894), (8.9559362, 46.3601849), (8.955984, 46.3601911), (8.9560271, 46.3602064), (8.9560621, 46.3602297), (8.9560859, 46.3602589), (8.9560965, 46.3602916)];80;48;48;48;48
[(8.9735893, 46.3528902), (8.9734363, 46.3534015)];50;60;60;60;60
[(8.9736759, 46.3525797), (8.9736219, 46.3527734)];50;60;60;60;60
[(8.6033143, 46.5284949), (8.6032854, 46.5285191), (8.6032478, 46.5285368), (8.6032188, 46.5285433)];50;43;43;43;43
[(8.6032188, 46.5285433), (8.6032045, 46.5285465), (8.603159, 46.5285474), (8.6031149, 46.5285394), (8.6030932, 46.5285304)];50;43;43;43;43
[(8.6030691, 46.5283569), (8.6031067, 46.5283392), (8.60315, 46.5283295), (8.6031955, 46.5283286), (8.6032396, 46.5283366)];50;43;43;43;43
[(8.6032396, 46.5283366), (8.6032786, 46.5283528), (8.6033094, 46.5283759)];50;43;43;43;43
[(8.6033094, 46.5283759), (8.6033294, 46.528404), (8.6033372, 46.5284349), (8.603332, 46.528466), (8.6033143, 46.5284949)];50;43;43;43;43
[(8.6030932, 46.5285304), (8.6030759, 46.5285232), (8.6030451, 46.5285001), (8.603025, 46.528472), (8.6030173, 46.5284411)];50;43;43;43;43
[(8.6030173, 46.5284411), (8.6030225, 46.52841), (8.6030402, 46.5283811)];50;43;43;43;43
[(8.9737477, 46.3523223), (8.9737077, 46.3524654)];50;60;60;60;60
[(8.9736219, 46.3527734), (8.9735893, 46.3528902)];50;60;60;60;60
[(8.9529054, 46.0059143), (8.9529902, 46.0058975)];50;22;22;22;22
[(8.9518583, 46.006082), (8.9518301, 46.0060121)];50;22;22;22;22
[(8.9753234, 46.0016515), (8.9752963, 46.0016719), (8.9752782, 46.0016942), (8.9752722, 46.0017158)];50;31;31;31;31
[(8.9652555, 46.0119199), (8.9652295, 46.0119185), (8.9652045, 46.0119135), (8.9651685, 46.0118979), (8.965143, 46.011876), (8.9651339, 46.0118622), (8.9651283, 46.0118474)];50;37;37;37;37
[(8.9651283, 46.0118474), (8.9651281, 46.0118189), (8.9651367, 46.0117985), (8.9651568, 46.011776), (8.9651744, 46.0117643), (8.9651949, 46.0117552)];50;37;37;37;37
[(8.9644827, 46.0379972), (8.9646735, 46.038204)];50;47;47;47;47
[(8.7779409, 46.1700263), (8.7780287, 46.1700088), (8.7780866, 46.1699838), (8.7781093, 46.1699703)];50;38;38;38;38
[(8.777952, 46.1695493), (8.7779321, 46.1695197), (8.777915, 46.1694926)];50;38;38;38;38
[(8.9715184, 46.0157962), (8.9714915, 46.0158108), (8.9714594, 46.0158189), (8.9714253, 46.0158196), (8.9713925, 46.0158129)];50;37;37;37;37
[(8.971401, 46.0156745), (8.9714347, 46.0156698), (8.9714689, 46.0156726), (8.9715001, 46.0156828), (8.9715251, 46.0156992)];50;37;37;37;37
[(8.9715251, 46.0156992), (8.9715377, 46.0157138), (8.9715452, 46.01573)];50;37;37;37;37
[(8.9715452, 46.01573), (8.9715466, 46.0157537), (8.9715374, 46.0157765), (8.9715184, 46.0157962)];50;37;37;37;37
[(8.9370657, 46.0209969), (8.9370098, 46.0206993), (8.9369965, 46.0206285)];50;37;37;37;37
[(8.9371172, 46.021278), (8.9370657, 46.0209969)];50;37;37;37;37
[(8.9522073, 46.0329203), (8.9517442, 46.0329467), (8.9516032, 46.0329576)];50;37;37;37;37
[(8.9533017, 46.0329264), (8.9529113, 46.0329093), (8.9527017, 46.0329067), (8.9525041, 46.0329078), (8.9523433, 46.0329126)];50;37;37;37;37
[(8.9549591, 46.0330187), (8.9533017, 46.0329264)];50;37;37;37;37
[(8.9550613, 46.0330253), (8.9549591, 46.0330187)];50;37;37;37;37
[(8.9516032, 46.0329576), (8.9511862, 46.033005)];50;37;37;37;37
[(8.9511862, 46.033005), (8.9507975, 46.0330707)];50;37;37;37;37
[(8.9523433, 46.0329126), (8.9522073, 46.0329203)];50;37;37;37;37
[(8.9424139, 45.9828699), (8.9427559, 45.9832427), (8.9431736, 45.9836651), (8.9431878, 45.9836946), (8.9431743, 45.9837347), (8.9431515, 45.9837627), (8.9431326, 45.9837696), (8.9430925, 45.9837785), (8.9430429, 45.9837748), (8.9424152, 45.9833844), (8.9423669, 45.9833755), (8.942324, 45.9833791), (8.9423047, 45.9833927), (8.9422932, 45.9834049)];50;41;41;41;41
[(8.9422932, 45.9834049), (8.9422829, 45.9834277), (8.9422833, 45.9834593), (8.9423133, 45.9835102), (8.9424166, 45.9836704), (8.9424944, 45.9838656), (8.9425286, 45.9839608), (8.9425956, 45.9841471), (8.9426342, 45.9841986), (8.9427532, 45.9843115), (8.9428832, 45.9844571), (8.9429142, 45.9845166), (8.9429088, 45.9845557), (8.9428679, 45.984602)];50;41;41;41;41
[(8.9596653, 46.0230616), (8.9596196, 46.0229989)];50;38;38;38;38
[(8.9596196, 46.0229989), (8.9595795, 46.0229441)];50;38;38;38;38
[(8.9595795, 46.0229441), (8.9594939, 46.0228268), (8.9593527, 46.0226334), (8.9588346, 46.021832)];50;38;38;38;38
[(8.9738666, 46.0194023), (8.9740334, 46.0194006)];50;37;37;37;37
[(8.9740334, 46.0194006), (8.9741528, 46.0193984), (8.9742142, 46.0193942), (8.9742627, 46.0193881), (8.9743011, 46.0193785)];50;37;37;37;37
[(8.9658287, 46.012375), (8.9656447, 46.0122944)];50;37;37;37;37
[(8.9713925, 46.0158129), (8.9713663, 46.0158007), (8.9713462, 46.0157838), (8.971334, 46.0157636), (8.9713308, 46.0157418), (8.9713367, 46.0157202), (8.9713513, 46.0157008)];50;37;37;37;37
[(8.8000999, 46.1708145), (8.7999904, 46.1709114), (8.7999271, 46.1709983), (8.7998954, 46.1710777), (8.7998802, 46.171123), (8.7998736, 46.1711744), (8.7998748, 46.1712203), (8.7998741, 46.1712266)];50;43;43;43;43
[(8.5616931, 46.5590627), (8.5615653, 46.5591275), (8.5613381, 46.5592325)];80;0;0;0;0
[(8.5667648, 46.5554205), (8.5668019, 46.5554313)];80;0;0;0;0
[(8.5678797, 46.5545927), (8.5682199, 46.5544794)];80;0;0;0;0
[(8.567686, 46.5454942), (8.5674652, 46.5457425), (8.5672612, 46.5459805), (8.56725, 46.5459973), (8.5672422, 46.5460133), (8.5672397, 46.5460304), (8.5672424, 46.5460424), (8.5672486, 46.5460556), (8.5672603, 46.546067), (8.5672744, 46.5460743), (8.5672907, 46.5460805), (8.5673107, 46.5460834), (8.5673296, 46.5460831), (8.567348, 46.5460804), (8.5673646, 46.5460749), (8.567379, 46.5460679), (8.5677205, 46.5458775), (8.5677475, 46.5458662), (8.5677671, 46.5458602), (8.567786, 46.5458581), (8.5678069, 46.5458588), (8.5678246, 46.545863), (8.5678404, 46.5458713), (8.5678505, 46.5458788), (8.5678577, 46.5458888), (8.5678615, 46.5458988), (8.5678628, 46.5459096), (8.5678613, 46.5459225), (8.5678564, 46.5459333), (8.5678464, 46.5459452), (8.5678325, 46.5459566), (8.5678114, 46.5459713), (8.5674482, 46.5461552), (8.567396, 46.5461761), (8.5673488, 46.5461923), (8.5673091, 46.546203), (8.5672808, 46.5462083), (8.5672524, 46.5462108), (8.5672204, 46.5462122), (8.5671912, 46.5462108), (8.5667645, 46.5461694), (8.5667387, 46.5461692), (8.5667191, 46.5461716), (8.5666982, 46.5461775), (8.5666802, 46.5461863), (8.5666669, 46.5461968), (8.5666574, 46.5462084), (8.566653, 46.5462209), (8.5666519, 46.5462339), (8.5666547, 46.5462482), (8.5666635, 46.5462613), (8.5666738, 46.5462702), (8.5666892, 46.5462791), (8.5667173, 46.5462902), (8.5671725, 46.5464455), (8.5672116, 46.5464558), (8.5672551, 46.5464641), (8.5673137, 46.5464716), (8.5674952, 46.5464811), (8.5677189, 46.5464883), (8.5677576, 46.5464866), (8.5677977, 46.546481), (8.567834, 46.5464723), (8.5678755, 46.5464588), (8.5679125, 46.5464427), (8.5679495, 46.546422), (8.5679827, 46.5463989), (8.5680123, 46.5463743), (8.5680382, 46.5463481), (8.5680682, 46.5463164), (8.5681858, 46.5461785), (8.5684103, 46.5459153), (8.5684257, 46.5459017), (8.5684436, 46.5458899), (8.5684663, 46.5458832), (8.5684947, 46.5458813), (8.5685272, 46.5458844), (8.5685492, 46.5458916), (8.5685686, 46.5459014), (8.5685842, 46.5459193), (8.5685908, 46.545937), (8.5685917, 46.5459587), (8.5685863, 46.5459816), (8.5685745, 46.5460072), (8.5683247, 46.5464331), (8.5681041, 46.5468656), (8.5680696, 46.546913), (8.5680256, 46.5469581), (8.567974, 46.5470001), (8.5679249, 46.5470302), (8.5678767, 46.5470539), (8.5678007, 46.5470868), (8.567735, 46.5471068), (8.5676477, 46.547125), (8.5675665, 46.5471356), (8.5672316, 46.547154), (8.5671467, 46.5471647), (8.5670807, 46.547179), (8.5670234, 46.5471975), (8.5669781, 46.5472195), (8.5669257, 46.5472504), (8.5668869, 46.547279), (8.5668358, 46.5473277), (8.5668027, 46.5473711), (8.5667822, 46.5474168), (8.5667677, 46.5474678), (8.5666879, 46.5481416), (8.5666885, 46.5481657), (8.5666947, 46.5481835), (8.5667074, 46.5481966), (8.5667295, 46.5482106), (8.5667499, 46.5482173), (8.5667733, 46.5482216), (8.5668021, 46.5482207), (8.5668282, 46.548217), (8.5668482, 46.5482113), (8.5668625, 46.5482039), (8.5668738, 46.5481926), (8.5668823, 46.5481763), (8.5668913, 46.5481376), (8.5669444, 46.5479275), (8.567028, 46.547681), (8.5670383, 46.547658), (8.567053, 46.5476373), (8.5670693, 46.5476193), (8.5670943, 46.5475984), (8.5671246, 46.54758), (8.5671588, 46.5475623), (8.5671957, 46.5475487), (8.5672428, 46.5475369), (8.5672942, 46.5475263), (8.5678014, 46.5474483), (8.5679076, 46.5474366), (8.5680111, 46.5474304), (8.5684217, 46.547425), (8.5684758, 46.5474237), (8.5685368, 46.5474193), (8.5685773, 46.5474134), (8.5686196, 46.5474028), (8.5686689, 46.5473875), (8.5687246, 46.5473696), (8.5687617, 46.5473527), (8.5688014, 46.5473298), (8.5688385, 46.5473049), (8.5691825, 46.5470593), (8.5692707, 46.5469853), (8.5693213, 46.5469343), (8.5693699, 46.5468776), (8.5696065, 46.5465482), (8.5697135, 46.5463992), (8.569728, 46.5463849), (8.5697447, 46.5463748), (8.5697656, 46.5463698), (8.569793, 46.5463678), (8.5698152, 46.546371), (8.5698412, 46.5463786), (8.5698614, 46.5463883), (8.5698793, 46.5464025), (8.5698853, 46.546419), (8.5698844, 46.5464351), (8.5698774, 46.5464544), (8.5698647, 46.5464769), (8.5698391, 46.5465157)];80;9;9;9;9
[(8.5716097, 46.5427948), (8.5716401, 46.5427802), (8.5721488, 46.5425048), (8.5721798, 46.5424899), (8.5722006, 46.5424833), (8.572221, 46.5424793), (8.5722463, 46.5424773), (8.5722658, 46.5424796), (8.5722828, 46.5424852), (8.5723003, 46.5424947), (8.5723152, 46.5425061), (8.5723236, 46.5425146), (8.5723327, 46.5425259), (8.5723385, 46.542538), (8.5723409, 46.5425498), (8.5723403, 46.5425636), (8.5723367, 46.5425782), (8.5723285, 46.5425917), (8.572318, 46.5426045), (8.5723005, 46.5426186), (8.5722783, 46.5426338), (8.5719488, 46.5428168), (8.5716783, 46.5429746), (8.5715832, 46.5430231), (8.5714954, 46.5430662), (8.5709973, 46.5432827), (8.5700716, 46.5436529), (8.5700445, 46.5436665), (8.5700203, 46.5436828), (8.5700035, 46.5436979), (8.5699943, 46.5437118), (8.5699908, 46.5437273), (8.5699912, 46.5437456), (8.5699968, 46.5437615), (8.5700071, 46.5437747), (8.5700201, 46.5437873), (8.5700361, 46.5437972), (8.5700578, 46.5438065), (8.570079, 46.5438108), (8.570102, 46.5438131), (8.5701257, 46.5438119), (8.5701464, 46.5438086), (8.5701842, 46.5438004), (8.5705691, 46.5436943)];80;9;9;9;9
[(8.5714546, 46.5425393), (8.5714628, 46.5425499), (8.5714736, 46.5425576), (8.5714872, 46.5425632), (8.5715016, 46.5425672), (8.5715178, 46.5425686), (8.5715332, 46.5425677), (8.5715505, 46.5425646), (8.5715661, 46.5425595), (8.5716065, 46.5425412), (8.5720165, 46.5423149), (8.572039, 46.542305), (8.5720596, 46.5422981), (8.5720774, 46.5422947), (8.5720924, 46.5422947), (8.5721053, 46.5422966), (8.5721175, 46.5423005), (8.5721316, 46.5423066), (8.5721413, 46.5423137), (8.5721502, 46.542323), (8.5721576, 46.5423348), (8.5721596, 46.5423468), (8.5721576, 46.5423588), (8.572152, 46.5423687), (8.5721394, 46.5423821), (8.5721165, 46.5423996), (8.5717577, 46.5425916), (8.571704, 46.5426168), (8.571648, 46.5426413), (8.5715533, 46.5426755), (8.5713799, 46.5427241), (8.5713194, 46.5427448), (8.5713028, 46.542755), (8.5712936, 46.5427647), (8.5712863, 46.5427777), (8.5712827, 46.542792), (8.5712848, 46.5428042), (8.5712913, 46.5428173), (8.5713024, 46.5428292), (8.5713171, 46.5428393), (8.5713343, 46.5428487), (8.5713527, 46.542855), (8.57137, 46.5428589), (8.5713896, 46.5428604), (8.5714103, 46.5428601), (8.5714292, 46.5428574), (8.571479, 46.5428451), (8.5715559, 46.5428178), (8.5716097, 46.5427948)];80;9;9;9;9
[(8.5714546, 46.5425393), (8.5714519, 46.5425297), (8.571451, 46.5425186), (8.5714527, 46.5425066), (8.5714587, 46.5424943), (8.5714672, 46.5424843), (8.5714786, 46.5424751), (8.5715113, 46.5424559)];80;9;9;9;9
[(8.5849561, 46.5354331), (8.5845795, 46.5353712), (8.584368, 46.535327), (8.5842146, 46.5352851), (8.5840835, 46.5352426), (8.5839799, 46.5352052), (8.5838754, 46.5351555), (8.5837881, 46.5351021), (8.5837351, 46.535065), (8.5836845, 46.5350209), (8.5836424, 46.5349738), (8.5836099, 46.5349133), (8.5835799, 46.5348476), (8.5835662, 46.5347832), (8.5835678, 46.5347493), (8.5835747, 46.5347144), (8.5835884, 46.5346795), (8.5836127, 46.5346366), (8.5836531, 46.5345892), (8.5837071, 46.5345466), (8.5837399, 46.5345268), (8.5838147, 46.5345021), (8.5838417, 46.5344949)];80;0;0;0;0
[(8.5989691, 46.5289989), (8.5979071, 46.528863)];80;43;43;43;43
[(8.5990959, 46.5290146), (8.5989691, 46.5289989)];50;43;43;43;43
[(8.6051953, 46.5295902), (8.6048179, 46.5296289), (8.6040375, 46.5296815)];50;43;43;43;43
[(8.6027964, 46.5285493), (8.602563, 46.5285788), (8.6023599, 46.5285939), (8.6022, 46.5286009), (8.602026, 46.5286012), (8.6018746, 46.5285981), (8.6017841, 46.5285919)];50;43;43;43;43
[(8.5990931, 46.5269802), (8.5991072, 46.5268858), (8.5991462, 46.5267332)];80;43;43;43;43
[(8.600202, 46.5249386), (8.5999233, 46.5249868)];80;43;43;43;43
[(8.6024664, 46.5250632), (8.6023287, 46.5250797), (8.6022028, 46.5250985)];80;43;43;43;43
[(8.9713477, 46.0120679), (8.9713406, 46.0121498), (8.9713385, 46.0122469), (8.9713449, 46.0123019), (8.9713582, 46.012365), (8.9713826, 46.0124539), (8.971462, 46.0126618)];50;37;37;37;37
[(8.971462, 46.0126618), (8.9715756, 46.0129511), (8.9715968, 46.0130339), (8.9716071, 46.0131098), (8.9716043, 46.0131795)];50;37;37;37;37
[(8.9716043, 46.0131795), (8.9715927, 46.01324), (8.9713948, 46.0138467), (8.9713638, 46.0139404), (8.9713359, 46.0140051), (8.971286, 46.0140883), (8.9712299, 46.0141622), (8.9711333, 46.0142645)];50;37;37;37;37
[(8.9711333, 46.0142645), (8.9709313, 46.0144354), (8.9708598, 46.0145054), (8.9708283, 46.0145527), (8.9708035, 46.0145999), (8.9707857, 46.0146536), (8.9707785, 46.0147062), (8.9707785, 46.014767), (8.970795, 46.0148305), (8.9708174, 46.0148811), (8.9708531, 46.0149347), (8.9709053, 46.0149914), (8.971273, 46.0153288), (8.9713405, 46.0153871), (8.9713982, 46.0154284), (8.9714519, 46.0154636), (8.9715696, 46.0155245), (8.9716011, 46.0155498), (8.9716157, 46.0155721), (8.9716178, 46.0155909), (8.9716129, 46.0156086), (8.9715976, 46.0156328), (8.9715637, 46.0156651), (8.9715251, 46.0156992)];50;37;37;37;37
[(8.9714862, 46.0109961), (8.9714763, 46.0110683), (8.9713588, 46.0119824), (8.9713477, 46.0120679)];50;37;37;37;37
[(8.9715098, 46.0108156), (8.9714862, 46.0109961)];50;37;37;37;37
[(8.971691, 46.009676), (8.9716601, 46.0097525), (8.9716444, 46.0098136), (8.9716308, 46.009879), (8.9716201, 46.0099682), (8.9715098, 46.0108156)];50;43;43;43;43
[(8.6106203, 46.5264717), (8.6095291, 46.5266195)];80;55;55;55;55
[(8.6059062, 46.5269618), (8.6045968, 46.5270217)];60;43;43;43;43
[(8.6091739, 46.526668), (8.6085773, 46.5267434), (8.607983, 46.5268085), (8.6076266, 46.5268451)];80;55;55;55;55
[(8.6035443, 46.52698), (8.6039827, 46.5269441), (8.6045456, 46.5269136)];80;43;43;43;43
[(9.0500761, 46.2237075), (9.0502338, 46.2237837)];50;39;39;39;39
[(9.0498976, 46.2236163), (9.0500761, 46.2237075)];50;39;39;39;39
[(9.0396804, 46.2126427), (9.0396709, 46.2125874), (9.0396609, 46.2125169), (9.0396543, 46.2124639), (9.039639, 46.2123902), (9.0396141, 46.2123046), (9.0395746, 46.2121751), (9.0394404, 46.2117219)];50;46;46;46;46
[(9.0394117, 46.2146727), (9.0394302, 46.2147632), (9.0394393, 46.2148374), (9.0394489, 46.2149446), (9.0394613, 46.2150166), (9.0394872, 46.2151137), (9.0395, 46.2151556)];50;46;46;46;46
[(9.0409851, 46.2166359), (9.0408189, 46.216561), (9.0407488, 46.2165318)];50;102;102;102;102
[(9.0176766, 46.1915216), (9.0180837, 46.1919995), (9.0181127, 46.1920392)];50;46;46;46;46
[(9.0180098, 46.1928707), (9.0179888, 46.1929309), (9.0179702, 46.1930055), (9.0179573, 46.1930684)];50;46;46;46;46
[(9.0183352, 46.1934167), (9.0182114, 46.1934283), (9.0181081, 46.1934255), (9.0180417, 46.1934165)];50;40;40;40;40
[(9.0184874, 46.1934393), (9.0183352, 46.1934167)];50;40;40;40;40
[(9.021365, 46.1938185), (9.0212271, 46.1937994), (9.0211739, 46.193792)];50;40;40;40;40
[(9.0232326, 46.1940684), (9.0230345, 46.1940325), (9.0229957, 46.1940276), (9.0215756, 46.1938477), (9.021365, 46.1938185)];50;40;40;40;40
[(9.0249311, 46.1954162), (9.0248008, 46.1951972)];50;40;40;40;40
[(9.025019, 46.1955787), (9.0249311, 46.1954162)];50;40;40;40;40
[(9.0272172, 46.1981056), (9.0269106, 46.1979459), (9.0268859, 46.197933)];50;40;40;40;40
[(8.9440974, 46.0058847), (8.9433989, 46.0060468), (8.9432743, 46.0060732)];50;19;19;19;19
[(8.9432743, 46.0060732), (8.9431144, 46.0061446), (8.9424137, 46.006505), (8.942095, 46.0066803)];50;19;19;19;19
[(8.942095, 46.0066803), (8.9416752, 46.0069111), (8.9415304, 46.006991)];50;19;19;19;19
[(8.9415304, 46.006991), (8.9414024, 46.0070599)];50;19;19;19;19
[(8.9414024, 46.0070599), (8.9411822, 46.0072097), (8.9410065, 46.0073643), (8.9408925, 46.0075497)];50;19;19;19;19
[(8.9408925, 46.0075497), (8.9408349, 46.0077374), (8.9407966, 46.0078564)];50;19;19;19;19
[(8.9407966, 46.0078564), (8.9406162, 46.0082778), (8.9403425, 46.008652)];50;19;19;19;19
[(8.9403425, 46.008652), (8.9397861, 46.0091021), (8.9396361, 46.0092118), (8.939384, 46.0093514), (8.9390965, 46.0094863)];50;36;36;36;36
[(8.9390965, 46.0094863), (8.9390058, 46.0095253), (8.9385222, 46.0097301)];50;36;36;36;36
[(8.9385222, 46.0097301), (8.9373721, 46.0102155)];50;36;36;36;36
[(8.9373721, 46.0102155), (8.9370161, 46.0103814)];50;36;36;36;36
[(8.9370161, 46.0103814), (8.9367276, 46.0105451), (8.9364859, 46.010713)];50;36;36;36;36
[(8.9304736, 45.9829446), (8.9305306, 45.9831397), (8.9305951, 45.983457), (8.9306468, 45.9838131)];50;104;104;104;104
[(8.9306468, 45.9838131), (8.930663, 45.9839709), (8.9306704, 45.9840236), (8.9307565, 45.9844701)];50;72;72;72;72
[(8.929318, 45.9809534), (8.929482, 45.9813687), (8.9295278, 45.9814672), (8.9296091, 45.9816154), (8.929752, 45.9818297), (8.9301172, 45.9822744)];50;104;104;104;104
[(8.9301172, 45.9822744), (8.9302368, 45.9824538), (8.9303374, 45.9826227), (8.9304088, 45.9827615), (8.9304603, 45.9828943), (8.9304736, 45.9829446)];50;104;104;104;104
[(8.8926484, 46.1530456), (8.8926811, 46.1530725), (8.8927021, 46.1531044), (8.8927098, 46.1531391), (8.8927038, 46.153174), (8.8926823, 46.1532089), (8.8926469, 46.1532379), (8.8926009, 46.1532586), (8.8925482, 46.1532691), (8.8924934, 46.1532684)];60;45;45;45;45
[(8.8924934, 46.1532684), (8.8924395, 46.1532552), (8.8924022, 46.1532387), (8.8923709, 46.1532146), (8.8923493, 46.1531857), (8.8923388, 46.1531541), (8.8923401, 46.1531216)];60;45;45;45;45
[(8.8923401, 46.1531216), (8.8923547, 46.1530878)];60;45;45;45;45
[(8.8925468, 46.1530135), (8.8926011, 46.153025), (8.8926484, 46.1530456)];60;45;45;45;45
[(8.9327106, 46.0154689), (8.9327103, 46.015433), (8.9327127, 46.0154064), (8.9327218, 46.0153822), (8.9327862, 46.0152932), (8.9337972, 46.0137697), (8.933851, 46.0137061), (8.9339458, 46.0135686), (8.9339653, 46.0135197), (8.9339633, 46.0134973)];50;66;66;66;66
[(8.5121155, 46.3183838), (8.5121429, 46.3183877), (8.5121905, 46.3183884), (8.5122308, 46.3183848), (8.5122745, 46.3183761), (8.5123398, 46.3183559), (8.5127874, 46.3182152), (8.5129125, 46.3181661), (8.5130875, 46.3181212), (8.5132626, 46.3180877), (8.5134367, 46.3180669), (8.5136319, 46.3180564), (8.5143518, 46.3180496), (8.5150656, 46.3180241), (8.5152447, 46.3180074), (8.5154613, 46.3179784), (8.5157327, 46.3179316), (8.517078, 46.3176687), (8.5173729, 46.3176008), (8.5179182, 46.3174247), (8.5183859, 46.31724), (8.5185051, 46.3172006), (8.5186077, 46.317183), (8.5187164, 46.3171805), (8.5188703, 46.3171868), (8.518931, 46.3171806), (8.5189752, 46.3171659), (8.5190182, 46.3171377), (8.5190462, 46.3171095), (8.5191067, 46.3169851), (8.5191318, 46.3169467), (8.5192095, 46.3168865), (8.5192836, 46.3168407), (8.5193749, 46.3168053), (8.5194671, 46.316777), (8.5196494, 46.3167514), (8.519977, 46.3167169), (8.5201063, 46.316697), (8.5202271, 46.3166706), (8.5203674, 46.3166256), (8.5205837, 46.3165394), (8.520761, 46.3164844), (8.5209353, 46.3164325), (8.5216955, 46.3162656), (8.5220972, 46.3161746), (8.522412, 46.316091), (8.522689, 46.3160106)];80;45;45;45;45
[(8.4933057, 46.3161946), (8.493368, 46.3161814), (8.4934479, 46.3161683), (8.4935017, 46.316159), (8.4936266, 46.3161284), (8.4941257, 46.3159697), (8.4946416, 46.3157944), (8.4948626, 46.3157102), (8.4949998, 46.3156525), (8.4950918, 46.3156044), (8.4952054, 46.3155345), (8.4952704, 46.3154938), (8.4954409, 46.3153749), (8.4956379, 46.3152843), (8.4957285, 46.3152492), (8.4958089, 46.3152266), (8.4959155, 46.315206), (8.4960162, 46.3151953), (8.4961158, 46.3151925), (8.4962176, 46.3151978), (8.4963268, 46.3152121), (8.4964122, 46.3152303), (8.4964976, 46.315259), (8.4966735, 46.3153262)];80;44;44;44;44
[(8.9545748, 46.3606246), (8.9543578, 46.3606882)];60;48;48;48;48
[(8.9543578, 46.3606882), (8.9538798, 46.3608281), (8.9530897, 46.3610984), (8.9527882, 46.3612113), (8.9525797, 46.3612871), (8.9521981, 46.3614259), (8.9519059, 46.3615379), (8.9514954, 46.3616928)];60;48;48;48;48
[(8.7253496, 46.2341594), (8.7252941, 46.2341847), (8.7246663, 46.2344722)];50;62;62;62;62
[(8.7254844, 46.2340979), (8.7253496, 46.2341594)];50;62;62;62;62
[(8.7257196, 46.2339937), (8.7257045, 46.2340003), (8.7255512, 46.2340674), (8.7254844, 46.2340979)];50;62;62;62;62
[(8.7258275, 46.2339465), (8.7257196, 46.2339937)];50;62;62;62;62
[(9.0345503, 46.2243594), (9.0345008, 46.2242526)];100;73;73;73;73
