coordinates;speed_limit;00_30;01_00;02_30;03_00
[(8.8477328, 46.1449571), (8.8479652, 46.1450398), (8.8481961, 46.1451258), (8.8489445, 46.1454102), (8.8493093, 46.1455459), (8.8497045, 46.1456751), (8.8510256, 46.1460356), (8.8518444, 46.146268), (8.8518642, 46.1462736), (8.8527483, 46.1465395), (8.8539599, 46.1469124), (8.8541311, 46.1469704), (8.8541971, 46.1469991), (8.8542709, 46.1470345), (8.8543458, 46.1470747), (8.8543992, 46.1471096), (8.8544487, 46.1471445), (8.8545014, 46.1471869), (8.8545531, 46.1472325), (8.8545925, 46.1472711), (8.8546265, 46.1473115), (8.8546717, 46.1473726), (8.8548973, 46.1477313), (8.8549239, 46.1477686), (8.8549536, 46.1478014), (8.8550171, 46.1478622), (8.8551403, 46.1479669), (8.855298, 46.1480923), (8.8554372, 46.1481994), (8.8556483, 46.1483537), (8.8558032, 46.1484602), (8.8558674, 46.1484994), (8.8559296, 46.1485337), (8.855983, 46.1485573), (8.8560408, 46.1485767)];50;47;47;47;47
[(8.8306935, 46.1405301), (8.8308523, 46.1405519), (8.8308763, 46.1405546), (8.8311693, 46.1405878)];60;55;55;55;55
[(8.763281, 46.1069987), (8.7634819, 46.1071444), (8.7636762, 46.107294), (8.7638342, 46.1074259), (8.763958, 46.1075365), (8.7640791, 46.107648), (8.7642024, 46.107771), (8.7643464, 46.1079266), (8.764624, 46.1082408), (8.7647021, 46.108329), (8.7648284, 46.108472), (8.7649343, 46.1085913), (8.7649929, 46.1086524), (8.765086, 46.1087485), (8.7651584, 46.10882), (8.7652094, 46.1088682), (8.7652751, 46.1089247), (8.7653417, 46.1089774), (8.765409, 46.1090331), (8.7654711, 46.1090819), (8.7655619, 46.1091445), (8.765661, 46.1092111), (8.7657621, 46.1092707), (8.7658858, 46.1093429), (8.76599, 46.1093978), (8.7661057, 46.1094536), (8.7662113, 46.109503), (8.766406, 46.1095892), (8.7667972, 46.1097538), (8.7670856, 46.1098811), (8.7674712, 46.1100804), (8.7677535, 46.1102425), (8.7680635, 46.1104396)];50;53;53;53;53
[(8.8850255, 46.1683131), (8.8849365, 46.1682882), (8.8848514, 46.168264), (8.8847673, 46.1682485), (8.8846901, 46.1682371), (8.8845972, 46.1682272), (8.8844808, 46.1682207), (8.8842966, 46.168219), (8.8840949, 46.1682234), (8.8835442, 46.1682354), (8.8827574, 46.1682477), (8.881399, 46.168265), (8.876372, 46.1683241), (8.875895, 46.1683294)];100;51;51;51;51
[(8.8689349, 46.1686224), (8.8692574, 46.1685701), (8.8695544, 46.168527), (8.8698266, 46.1684909), (8.8700681, 46.1684599), (8.8703705, 46.1684252), (8.8706248, 46.1684013), (8.8709207, 46.1683755), (8.8712007, 46.1683554), (8.8714781, 46.1683387), (8.8717419, 46.1683257), (8.8719873, 46.1683155), (8.8728704, 46.1682942), (8.8754667, 46.1682641)];100;89;89;89;89
[(8.8606062, 46.1716952), (8.8597808, 46.1721277)];100;93;93;93;93
[(8.8587457, 46.1725308), (8.8588875, 46.1724606)];100;93;93;93;93
[(8.8597413, 46.1709018), (8.8584559, 46.1709186)];50;93;93;93;93
[(8.8607988, 46.1709251), (8.8607123, 46.1709023), (8.8606111, 46.1708925), (8.8604278, 46.1708881), (8.8599223, 46.1708995), (8.8597413, 46.1709018)];50;93;93;93;93
[(8.861764, 46.1713143), (8.8617405, 46.1713161), (8.8617136, 46.1713166), (8.8616819, 46.1713142), (8.8616468, 46.1713062), (8.8616067, 46.1712922), (8.8615592, 46.1712715)];50;93;93;93;93
